Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,,,,,,,,,,,,,,,,,,
Lavatory moderne,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,8.1,26,tt0000361,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
A táncz,1901,N/A,30 Apr 1901,N/A,"Documentary, Short",Béla Zsitkovszky,Gyula Pekár,"Emilia Márkus, Lujza Blaha, Emilia Nirschy, Linda Niko",N/A,N/A,Hungary,N/A,N/A,N/A,7.8,6,tt0000376,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Undressing Extraordinary,1901,N/A,N/A,3 min,"Short, Comedy, Fantasy",Walter R. Booth,N/A,N/A,"Here we present a picture that simply convulses an audience with laughter. The scene opens in the bedroom of a hotel. A traveler appears, evidently a ""little worse for wear."" After stretching and yawning, he proceeds to disrobe. He throws off his coat and vest, but to his surprise and anguish, he suddenly finds himself clothed in a continental uniform. He throws this off in anger, but immediately a policeman's costume flies on him. This is in turn thrown aside in great rage and he finds himself clothed in a soldier's uniform. At last, thinking himself successful, he makes for the bed and finds a skeleton complacently resting on his pillow. The bed suddenly disappears, leaving him seated on the floor, and great quantities of bed clothes rain down from the ceiling. The picture ends leaving the audience simply convulsed in laughter.",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BYTJmMzRmYTgtNjJiZS00MTI2LWE1ZWEtZmNlMDZhODY5ZTI5XkEyXkFqcGdeQXVyNjYxMzM2NA@@._V1_SX300.jpg,N/A,6.1,129,tt0000377,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Lecture quotidienne,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000362,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Hussards et grisettes,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,"Geneviève Koch, Julie Souplet",N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000360,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Uma Parada dos Alunos da Casa Pia de Lisboa,1901,N/A,N/A,N/A,"Documentary, Short",Manuel Maria da Costa Veiga,N/A,N/A,N/A,None,Portugal,N/A,N/A,N/A,N/A,N/A,tt0000366,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Uma Tourada à Antiga Portuguesa,1901,N/A,N/A,N/A,"Documentary, Short",Manuel Maria da Costa Veiga,N/A,N/A,N/A,None,Portugal,N/A,N/A,N/A,N/A,N/A,tt0000375,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Carnaval en las ramblas,1902,N/A,N/A,9 min,"Short, Documentary",Fructuós Gelabert,N/A,N/A,N/A,None,Spain,N/A,N/A,N/A,N/A,N/A,tt0000382,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Carreras de caballos en el hipódromo de Barcelona,1902,N/A,N/A,6 min,"Short, Documentary",Fructuós Gelabert,N/A,N/A,Short documentary about horse races in the hippodrome of Barcelona.,None,Spain,N/A,N/A,N/A,N/A,N/A,tt0000383,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Pas de colombine,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000367,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Tel est pris qui croyait prendre,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000374,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Buffalo Bill's Wild West Show,1902,N/A,N/A,N/A,"Short, News",N/A,N/A,Buffalo Bill Cody,N/A,None,United States,N/A,N/A,N/A,4.1,26,tt0000381,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Danse excentrique,1902,N/A,N/A,2 min,"Short, Music",Alice Guy,N/A,Line Eshrard,"Serpentine dance by Lina Esbrard, playing with all the layers of the costume.",None,France,N/A,N/A,N/A,5.2,132,tt0000388,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
A Road for Children's Bicycles in Barcelona,1901,N/A,N/A,3 min,"Short, Documentary",Fructuós Gelabert,N/A,N/A,N/A,None,Spain,N/A,N/A,N/A,N/A,N/A,tt0000369,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Danse fantaisiste,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000389,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Sleeping Beauty,1903,N/A,11 Jul 1903,N/A,"Fantasy, Short, Drama","Lucien Nonguet, Ferdinand Zecca",Charles Perrault,N/A,The baptism of the Princess. The fatal spinning-wheel. The Prince is smitten with the Princess. The three cross-roads. The haunted inn. Fairy palace. The mysterious oak. The fairy grotto. The Princess awakes.,"None, French",France,N/A,N/A,N/A,6.9,27,tt0000380,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
La cour des miracles,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000386,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Coronation of King Edward VII,1902,Not Rated,01 Sep 1902,4 min,"Short, History","Georges Méliès, Charles Urban",N/A,Paul Méliès,"This impressive ceremony is performed in the order as officially published. Their Majesties, Royalty, Clergy, and other Distinguished Personages taking part in the Coronation are impersonated by accomplished actors and actresses, every detail as to costumes, robes, regalia, coronation chairs, chair of state, Abbey arrangements, etc., being as faithfully reproduced as possible, in order to convey the scene to the millions who are not privileged to witness the actual proceedings. Only such portions of the ceremony as would admit of action have been selected for purposes of this representation, thus greatly reducing the duration of the actual performance, and blending the same into a consecutive series, enacted in the most impressive and dignified manner, and in the following order, viz: 1. His Majesty taking the oath. 2. King Edward kissing the book and signing the oath. 3. The annointing 4. The oblation of the sword. 5. The imperial mantle 6. The orb and sceptres. 7. The crowning of his Majesty in St. Edward's Chair. 8. The King and Queen ascend to the chairs of state.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BMmY1ZTAwNzktN2I1ZC00OTkwLWJhNzYtNWI3YWJlNTFjMjU4XkEyXkFqcGdeQXVyNzUyMjQ3NTQ@._V1_SX300.jpg,N/A,5.1,398,tt0000387,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Scène d'ivresse,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000372,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Devil's Seven Castles,1902,N/A,01 Sep 1904,11 min,"Short, Drama, Horror",Ferdinand Zecca,N/A,N/A,"Following in the footsteps of the indefatigable pioneer director, Georges Méliès, the ambitious Ferdinand Zecca's loose interpretation of the Faustian myth presents the audience with a painstakingly hand-tinted and elaborately adorned turn-of-the-century féerie. Dissatisfied with his life, a desperate man decides to make an unholy pact with the Devil, trading his immortal soul for unlimited wealth, knowledge and earthly pleasures. All of a sudden, by the power of magic and the tricks of the archfiend, precious objects and beautiful artefacts start manifesting out of thin air, cramming the humble homestead's empty rooms. However, there is always a catch in such Faustian bargains: the descent to hell through the seven deadly sins is inevitable.","None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BYmZmMTBjMzItMTQ2Mi00YzMyLWE1ZTQtYjkwMjQ0MzQ3YjJhXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,N/A,6.4,108,tt0000373,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Farces de cuisinière,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000394,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Visita de la escuadra inglesa a Barcelona,1901,N/A,N/A,6 min,"Documentary, Short",Fructuós Gelabert,N/A,N/A,Short documentary about the English war ships anchored in Barcelona's harbour.,None,Spain,N/A,N/A,N/A,5.2,12,tt0000379,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
La fiole enchantée,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000395,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
En faction,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000393,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Les vagues,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,"Geneviève Koch, Julie Souplet",N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000378,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Les clowns,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000385,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Miss Dundee and Her Performing Dogs,1902,Not Rated,10 Mar 2006,3 min,"Documentary, Short",Alice Guy,N/A,N/A,A woman performs a music hall act with her extremely well-trained dogs.,"None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BZWY5NGZlZjgtYzg2Yi00OTc3LTkyNGEtZTg5OWY1YTE1MmJhXkEyXkFqcGdeQXVyNjc2NjkzNTg@._V1_SX300.jpg,N/A,5.8,346,tt0000384,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Enchanted Cup,1903,N/A,01 Oct 1903,N/A,"Short, Fantasy",Walter R. Booth,N/A,N/A,"This popular mythical legend of the Fatherland is described in full detail, and many startling effects are introduced. A pretty German peasant girl is awaiting her lover at the trysting place in the mountains, when she is captured by the dwarfs and carried to their underground cavern or grotto. Her sweetheart is unable to rescue her until the good fairy presents him with the enchanted cup, with which he is able to penetrate into the depths of the earth and rescue his Gretchen from their clutches. Beautiful scenic effects and novel situations.",None,United Kingdom,N/A,N/A,N/A,N/A,N/A,tt0000392,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Le lion savant,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,6.4,17,tt0000400,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
La dent récalcitrante,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000391,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Le marchand de ballons,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000401,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Danse mauresque,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000390,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
La gigue,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000398,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Procesión de las hijas de María de la parroquia de Sans,1902,N/A,N/A,2 min,"Documentary, Short",Fructuós Gelabert,N/A,N/A,"This seemingly simple and modest actuality from 1902 shows a religious parade. I was expecting much, until the first cut arrived, to be followed by a total of eleven. For 1902, this is highly advanced technique, something that was used by story films, but almost never by actualities.Actualities, the precursors of newsreels, purported to show you the reality, the whole reality and nothing but the reality. By using cuts, this one showed you the highlights. It assumed a greater understanding on the part of its audience than hitherto. It meant that cinema was growing up.",None,Spain,N/A,N/A,N/A,3.6,40,tt0000407,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Fruits de saison,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000396,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Pour secouer la salade,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000404,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Jack and the Beanstalk,1902,Not Rated,15 Jul 1902,10 min,"Short, Fantasy","George S. Fleming, Edwin S. Porter",N/A,"James H. White, Thomas White","Porter's sequential continuity editing links several shots to form a narrative of the famous fairy tale story of Jack and his magic beanstalk. Borrowing on cinematographic methods reminiscent of 'Georges Melies', Porter uses animation, double exposure, and trick photography to illustrate the fairy's apparitions, Jack's dream, and the fast growing beanstalk.","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMjAzNTI3MzI0Nl5BMl5BanBnXkFtZTcwMzQ1MTYzMw@@._V1_SX300.jpg,N/A,6.1,779,tt0000399,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
La première gamelle,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000405,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Prince of Darkness,1900,N/A,01 Apr 1900,N/A,"Short, Horror",N/A,N/A,N/A,"In this picture some very remarkable effects are obtained by the reversal of the motion of the negative. A man comes home, somewhat under the influence of liquor, and starts to remove his outer clothes. As fast as he removes each article and throws it from him, it immediately flies back, and when he is completely bewildered by this weird proceeding, His Satanic Majesty suddenly appears, and the man collapses.",None,United States,N/A,N/A,N/A,6.2,45,tt0000406,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Mother Goose Nursery Rhymes,1902,Not Rated,01 Feb 1903,N/A,"Short, Comedy",George Albert Smith,N/A,Tom Green,"Eight scenes: Sing a Song of Sixpence, Old Mother Hubbard, Little Miss Muffet, Goosey Gander, Jack and Jill, Old Woman in a Shoe, Hey Diddle Diddle.",None,United Kingdom,N/A,N/A,N/A,N/A,11,tt0000402,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
La gavotte,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000397,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Troublesome Fly,1900,N/A,01 May 1900,N/A,"Short, Comedy, Horror",Arthur Marvin,N/A,N/A,N/A,None,United States,N/A,N/A,N/A,4.1,27,tt0000412,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Devil's Money Bags,1902,Not Rated,01 Feb 1903,3 min,"Short, Comedy, Fantasy",Georges Méliès,Georges Méliès,Georges Méliès,"The setting of this fantastic scene represents the hall of an old chateau in which a miser has locked up seven large bags containing his wealth. Satan, who has made his way into the chateau, puts the seven bags in a strong box, and makes with his hands some cabalistic motions. The miser comes into the hall and is greatly astonished to find his fortune missing. He opens the coffer and immediately the bags leap out. He gathers them up and puts them back into the coffer. When he opens it again he finds that they have been transformed into seven young girls, who rush out and chase after him, beating him unmercifully. They shut him up in the coffer from which his gold has vanished. The miser pushes open the lid of the coffer, and to his profound despair finds that both young girls and money have disappeared. (This view is most sensational in its mysterious scenes.)",None,France,N/A,https://m.media-amazon.com/images/M/MV5BNjBiMjM4ZjEtMjViNi00NmY0LTg5NGItZDExOWY1MzhkODk3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,5.5,488,tt0000413,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Le pommier,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000403,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
L'équilibriste,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000419,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Demolishing and Building Up the Star Theatre,1901,Unrated,01 Apr 1901,2 min,"Documentary, Short",Frederick S. Armitage,N/A,N/A,"This film shows the demolition of the historic Star Theatre building (formerly Wallack's) at the corner of Broadway and 13th Street, New York. To secure this unique picture a Biograph camera was kept constantly at work by specially devised electric apparatus for weeks, during which time exposures were made every four minutes, 8 hours a day. Before the contractors began their work of tearing down and after the last vestige of the building had been removed, 15 seconds of exposure at normal speed were made. Thus in the finished positive one views at first the old Star Theatre standing as it had for years looking down with serenity upon the bustle of Broadway traffic. Then as if struck by a tornado of supernatural strength, the building begins to crumble. Chimneys totters, walls cave in, and whole stories vanish, until at last the site shows only a cellar excavation; and the Broadway cars with the sidewalk procession continue as if nothing unusual had happened. When this view is shown in the reverse, the effect is very extraordinary.",None,United States,1 win,https://m.media-amazon.com/images/M/MV5BNWY1ZmU5OTItY2EyYy00MWZhLWJiZDUtYmQxYmY5NTVjNmU3XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,6.7,"1,082",tt0000410,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Quadrille réaliste,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000408,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Wild Man of Borneo,1902,N/A,01 Sep 1902,N/A,"Short, Drama",William Haggar,N/A,N/A,Fight between a knight and a forest hermit.,None,United Kingdom,N/A,N/A,N/A,N/A,N/A,tt0000418,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Trompé mais content,1902,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000411,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Alcohol and Its Victims,1902,N/A,01 Oct 1904,4 min,"Short, Drama",Ferdinand Zecca,"Ferdinand Zecca, Émile Zola",N/A,A happy family is brought to ruin when the father starts drinking.,"None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BOTg5N2QwNzQtODBmYi00YzZkLTliNmMtMGUxMjYzMTBlYzU0XkEyXkFqcGdeQXVyMTAzNDQ1MTI@._V1_SX300.jpg,N/A,5.4,183,tt0000416,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Buffalo Bill's Parade,1903,N/A,N/A,N/A,"Documentary, Short",N/A,N/A,Buffalo Bill Cody,"Circus parades are of great interest and this is the most successful film of the kind ever obtained. The parade is lead by Buffalo Bill (The Honorable Wm. Cody) himself, mounted on his famous white steed said to be the most beautiful equine ever seen in public. It may be of interest to our patrons to know the fact that every horse in this parade, with one exception, was killed shortly afterwards in a disastrous railway wreck. The parade is varied in character, showing mounted Indians, Cowboys, Arabs, English troopers, Boer cavalry and our own famous Rough Riders, the rear being brought up by the mounted Cowboy Band.",None,United States,N/A,N/A,N/A,5.2,25,tt0000425,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Une scène en cabinet particulier vue à travers le trou de la serrure,1902,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000415,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Les braconniers,1903,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000424,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Sage-femme de première classe,1902,N/A,N/A,4 min,"Short, Comedy",Alice Guy,N/A,"Alice Guy, Germaine Serand, Yvonne Serand",A young couple go shopping for a baby.,"None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BNzcwZWVmNmUtODE2Mi00MjE5LWEzMDktNTM1MzdiY2Q4MTRjXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,N/A,5.1,255,tt0000409,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
A Trip to the Moon,1902,TV-G,04 Oct 1902,13 min,"Short, Action, Adventure",Georges Méliès,"Georges Méliès, Jules Verne, H.G. Wells","Georges Méliès, Victor André, Bleuette Bernon","An association of astronomers has convened to listen to the plan of Professor Barbenfouillis, their president, to fly to the moon. With the one dissenting voice quashed by Barbenfouillis and the other members, the plan is approved with Barbenfouillis choosing five others to accompany him. Most of the preparation for the trip is in building the vessel and launching mechanism, which resemble a large bullet and a large gun respectively. Hitting the moon in the eye, the six land safely at their destination. They find that much about the moon is wonderful and fantastical, but also that much is not what they would have liked to encounter as it is life threatening. They have to find a way to get out of their alien predicament to get back home safely.","French, English",France,1 win,https://m.media-amazon.com/images/M/MV5BNDlhNDIzYWMtMzJiOS00MjA3LTgyYjYtY2YxNmI0NWE1NWM2XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,N/A,8.1,"55,546",tt0000417,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Alice in Wonderland,1903,N/A,17 Oct 1903,9 min,"Short, Family, Fantasy","Cecil M. Hepworth, Percy Stow","Lewis Carroll, Cecil M. Hepworth","May Clark, Cecil M. Hepworth, Blair","Alice dozes in a garden, awakened by a dithering white rabbit in waistcoat with pocket watch. She follows him down a hole and finds herself in a hall of many doors. A key opens a small door: eventually, she's through into a garden where a dog awaits. Later, in the rabbit's home, her size is again a problem. She tries to help a nanny with a howling baby, then a Cheshire cat directs her to a tea party where the Mad Hatter and March Hare dunk a dormouse. Expelled from the party, Alice happens on a royal processional: all the cards in the deck precede the Queen of Hearts, who welcomes then turns on Alice and calls on the royal executioner. Alice must run for her life.",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BODQyZWYxZWYtNDRmZC00ZjQxLTlhZGQtM2JmZGNlYjViNGU5XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg,N/A,6.2,"2,833",tt0000420,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Les aventures d'un voyageur trop pressé,1903,N/A,N/A,N/A,Short,Alice Guy,N/A,Ferdinand Zecca,N/A,None,France,N/A,N/A,N/A,6.0,9,tt0000422,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Uncle Josh at the Moving Picture Show,1902,Not Rated,01 Jan 1902,2 min,"Comedy, Short",Edwin S. Porter,N/A,Charles Manley,"A side-splitter. Uncle Josh occupies a box at a vaudeville theatre, where a moving picture show is going on. First a dancer appears on the screen. Uncle Josh jumps to the stage and endeavors to make lover to her, but she flits away, and immediately there appears upon the screen the picture of an express train running at sixty miles an hour. Uncle Josh becomes panic-stricken, and fearing to be struck by the train, makes a dash for his box. He is no sooner seated than a country couple appear upon the screen, at a well. Before they pump the pail full of water they indulge in a love-making scene. Uncle Josh thinks he recognizes his own daughter, jumps upon the stage, removes his coat and prepares to chastise the lover, and grabbing the moving picture screen he hauls it down, and to his great surprise finds a kinetoscope operator in the rear. The operator is made furious by Uncle Josh interrupting his show, and grappling with him they roll over and over upon the stage in an exciting encounter.","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTU4MjgwNzU5Ml5BMl5BanBnXkFtZTcwMzExNDA3MQ@@._V1_SX300.jpg,N/A,5.3,775,tt0000414,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Enchanted Box,1903,N/A,13 Jun 1903,1 min,"Short, Fantasy",Georges Méliès,N/A,Georges Méliès,"As scene as pleasing as incomprehensible. A juggler summons two chairs, which come to the stage jumping and twirling around. Across the back of these chairs the operator places a sheet of glass on which he lays a box about four inches high. He then takes a table cover, with his servant's help, rolls it up and from the centre emerges a lady, beautifully dressed. At the juggler's order she jumps in the box, in which she completely disappears. The operator, in taking the box, notices an incredulous smile among the audience; he then affirms that the lady is still inside, and to prove it he puts the box on his knees and the girl appears again in full figure. He makes her go in again, and opening the box he shows that the girl has vanished and that her dresses only remain at the bottom. Then he jumps into the box himself, and his servant afterward; the box rolls off the stage without any help.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BMmU2YTJjYjEtNjQxNC00YTE3LTliOTItOWMyY2U2Y2QzNzkxXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,5.5,244,tt0000423,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Carreras de bicicletas en el parque,1903,N/A,N/A,N/A,"Documentary, Short",Fructuós Gelabert,N/A,N/A,N/A,None,Spain,N/A,N/A,N/A,N/A,N/A,tt0000428,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Comme on fait son lit on se couche,1903,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000431,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
A Chess Dispute,1903,Not Rated,01 Aug 1903,1 min,"Short, Comedy",Robert W. Paul,N/A,Alfred Collins,"A stationary camera looks on as two dapper gents play a game of chess. One drinks and smokes, and when he looks away, his opponent moves two pieces. A fight ensues, first with the squirting of a seltzer bottle, then with fisticuffs. The combatants wrestle each other to the floor and continue the fight out of the camera's view, hidden by the table. The waiter arrives to haul both of them out.",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BZTYxY2MwMjEtMjc5OS00MGQ1LTlhOTctNmQxYjZiYTkxMGJiXkEyXkFqcGdeQXVyNDg5MjMyMTM@._V1_SX300.jpg,N/A,5.9,708,tt0000430,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Les apaches pas veinards,1903,N/A,N/A,N/A,Short,Alice Guy,N/A,Ferdinand Zecca,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000421,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
An Extraordinary Cab Accident,1903,Not Rated,01 Nov 1903,1 min,"Short, Comedy","Walter R. Booth, Robert W. Paul",N/A,N/A,"A man and a woman talk beside a street near a corner where a cop stands. Just as a horse-drawn cart rounds the corner, the man backs off the sidewalk saying good-by to his companion. The horse and cart flatten him and continue on, out of the camera's stationary range. The cop runs after the cab, the woman dashes to the body. The cop brings back the driver; is the victim dead?","None, English",United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMzdmY2FmNWMtYTA1ZC00NjJlLWE0ODEtMzFlNWIwMWZiZmJkXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg,N/A,6.1,544,tt0000436,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
La chasse au cambrioleur,1903,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,N/A,N/A,N/A,tt0000429,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
